Title,URL,Deadline,Call For,Opportunity Status,Estimated Funding,Source,Year
Neutrophil Dependent Immunity to Strongyloides Stercoralis,https://reporter.nih.gov/project-details/1R56AI076345-01A2,Not specified,Research Grant,Awarded,"$386,250.00",NIH RePORTER,2023
ETHANOL AND CD4 CELL DEPENDENT IMMUNITY,https://reporter.nih.gov/project-details/1R21AA011562-01,Not specified,Research Grant,Awarded,"$113,400.00",NIH RePORTER,2023
TREK-1 in fibroblast differentiation and cardiac fibrosis development,https://reporter.nih.gov/project-details/5K08HL125905-02,Not specified,Research Grant,Awarded,"$154,584.00",NIH RePORTER,2023
CORE--STRUCTURAL MOLECULAR BIOLOGY,https://reporter.nih.gov/project-details/5P30CA016059-17,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
STRUCTURAL MOLECULAR BIOLOGY,https://reporter.nih.gov/project-details/2P30CA016059-15,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
DESIGN AND DEVELOPMENT OF POTENTIAL ANTISICKLING AGENTS,https://reporter.nih.gov/project-details/5R01HL032793-15,Not specified,Research Grant,Awarded,"$277,696.00",NIH RePORTER,2023
DESIGN AND DEVELOPMENT OF POTENTIAL ANTISICKING AGENTS,https://reporter.nih.gov/project-details/5R01HL032793-08,Not specified,Research Grant,Awarded,"$242,594.00",NIH RePORTER,2023
DESIGN & DEVELOPMENT OF POTENTIAL ANTISICKLING AGENTS,https://reporter.nih.gov/project-details/5R01HL032793-02,Not specified,Research Grant,Awarded,"$199,817.00",NIH RePORTER,2023
DESIGN & DEVELOPMENT OF HEMOGLOBIN ALLOSTERIC EFFECTORS,https://reporter.nih.gov/project-details/5R42HL055054-03,Not specified,Research Grant,Awarded,"$112,071.00",NIH RePORTER,2023
Rational Design of Novel Estrogen Receptor Antagonists,https://reporter.nih.gov/project-details/5R01CA100121-03,Not specified,Research Grant,Awarded,"$300,275.00",NIH RePORTER,2023
Design & Development of Allosteric effectors of PK,https://reporter.nih.gov/project-details/5R01HL065715-02,Not specified,Research Grant,Awarded,"$337,500.00",NIH RePORTER,2023
CLINICAL STUDY OF 4BM IN SICKLE CELL DISEASE,https://reporter.nih.gov/project-details/2M01RR000065-35,Not specified,Research Grant,Awarded,"$27,585.00",NIH RePORTER,2023
Safety of Nighttime Construction Activities,https://reporter.nih.gov/project-details/1R01OH008554-01,Not specified,Research Grant,Awarded,"$159,473.00",NIH RePORTER,2023
STUDY OF SURGERY AND PHOTODYNAMIC THERAPY FOR INTRAPERITONEAL SARCOMAS,https://reporter.nih.gov/project-details/1Z01CM006397-04,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
FUNCTION OF PLASMA MEMBRANE ATP CHANNEL PROTEINS,https://reporter.nih.gov/project-details/1Z01SC007230-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
TREATMENT OF SUPERFICAL CARCINOMA OF THE BLADDER WITH PHOTORADIATION,https://reporter.nih.gov/project-details/1Z01CM006388-07,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
PHASE I STUDY OF PHOTODYNAMIC THERAPY FOR SURFACE MALIGNANCIES,https://reporter.nih.gov/project-details/1Z01CM006379-08,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
ASSOCIATION OF BREAST AND PROSTATE CARCINOMAS WITH THE CYSTIC FIBROSIS GENOTYPE,https://reporter.nih.gov/project-details/1Z01CM007232-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Modification of Alpha-Crystallin Chaperone Function,https://reporter.nih.gov/project-details/5R01EY011352-15,Not specified,Research Grant,Awarded,"$348,000.00",NIH RePORTER,2023
LENS PROTEIN GLYCATION AND CATARACT DEVELOPMENT,https://reporter.nih.gov/project-details/2R01EY007394-10A1,Not specified,Research Grant,Awarded,"$215,883.00",NIH RePORTER,2023
"NON-ENZYMATIC GLYCOSYLATION EFFECTS ON OXYGEN TRANSPORT, GELATION, AND SICKLING",https://reporter.nih.gov/project-details/5P60HL029554-05,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
LENS PROTEIN GLYCATION & CATARACT DEVELOPMENT,https://reporter.nih.gov/project-details/5R01EY007394-07,Not specified,Research Grant,Awarded,"$135,930.00",NIH RePORTER,2023
MINOR FETAL HEMOGLOBIN COMPONENTS,https://reporter.nih.gov/project-details/5R01DK032957-04,Not specified,Research Grant,Awarded,"$84,099.00",NIH RePORTER,2023
CYTOKINES AND POSTHEMORRHAGE PULMONARY IMMUNODEPRESSION,https://reporter.nih.gov/project-details/1R01HL050284-01A2,Not specified,Research Grant,Awarded,"$284,997.00",NIH RePORTER,2023
HMGBP1 in Shock,https://reporter.nih.gov/project-details/5P50GM049222-16,Not specified,Research Grant,Awarded,"$334,187.00",NIH RePORTER,2023
PI3-K and Akt in Acute Lung Injury,https://reporter.nih.gov/project-details/5P01HL068743-05,Not specified,Research Grant,Awarded,"$266,128.00",NIH RePORTER,2023
Neutrophil Activation in Acute Lung Injury,https://reporter.nih.gov/project-details/5R01HL062221-07,Not specified,Research Grant,Awarded,"$353,201.00",NIH RePORTER,2023
Effects of Drotrecogin Alfa on Immunologic Response,https://reporter.nih.gov/project-details/5M01RR000051-43,Not specified,Research Grant,Awarded,"$27,206.00",NIH RePORTER,2023
GENOMIC INFLUENCES  ON ACUTE LUNG INJURY,https://reporter.nih.gov/project-details/2M01RR000051-46,Not specified,Research Grant,Awarded,"$3,703.00",NIH RePORTER,2023
HUMORAL BASES OF HEMORRHAGE-INDUCED IMMUNOSUPPRESSION,https://reporter.nih.gov/project-details/1R23AI022944-01A1,Not specified,Research Grant,Awarded,"$47,393.00",NIH RePORTER,2023
"Urokinase, Neutrophil Activation and Acute Lung Injury.",https://reporter.nih.gov/project-details/2R01HL076206-05A2,Not specified,Research Grant,Awarded,"$379,937.00",NIH RePORTER,2023
GENOMIC INFLUNENCES ON IMMUNOLOGIC RESPONSES TO PULMONARY ADMIN OF ENDOTOXIN,https://reporter.nih.gov/project-details/5M01RR000051-45,Not specified,Research Grant,Awarded,"$14,234.00",NIH RePORTER,2023
"Urokinase, Neutrophil Activation and Acute Lung Injury",https://reporter.nih.gov/project-details/5R01HL076206-04,Not specified,Research Grant,Awarded,"$323,329.00",NIH RePORTER,2023
IMMUNOLOGIC RESPONSES TO PULMONARY ADMINISTRATION OF ENDOTOXIN-PHASE B,https://reporter.nih.gov/project-details/5M01RR000051-45,Not specified,Research Grant,Awarded,"$10,211.00",NIH RePORTER,2023
IMMUNOLOGIC RESPONSES TO PULMONARY ADMINISTRATION OF ENDOTOXIN-PHASE A,https://reporter.nih.gov/project-details/5M01RR000051-45,Not specified,Research Grant,Awarded,"$2,785.00",NIH RePORTER,2023
CLINICAL CENTERS--A NETWORK FOR THE TREATMENT OF ARD,https://reporter.nih.gov/project-details/N01HR046061-003,Not specified,Research Grant,Awarded,"$269,615.00",NIH RePORTER,2023
Heterogeneous Neutrophil Responses in Acute Lung Injury,https://reporter.nih.gov/project-details/5P01HL068743-02,Not specified,Research Grant,Awarded,"$1,451,519.00",NIH RePORTER,2023
HMGB1 and neutrophil efferocytosis.,https://reporter.nih.gov/project-details/1R01GM087748-01,Not specified,Research Grant,Awarded,"$303,642.00",NIH RePORTER,2023
Immunologic Responses to Pulmonary Administration,https://reporter.nih.gov/project-details/5M01RR000051-43,Not specified,Research Grant,Awarded,"$19,600.00",NIH RePORTER,2023
ANION PERMEABILITY IN CF: TRANSPORT PROTEINS AND DNA,https://reporter.nih.gov/project-details/2K08DK001346-04,Not specified,Research Grant,Awarded,"$73,712.00",NIH RePORTER,2023
"ANION PERMEABILITY IN CF:TRANSPORT, PROTEINS, AND DNA",https://reporter.nih.gov/project-details/5K08AM001346-02,Not specified,Research Grant,Awarded,"$73,872.00",NIH RePORTER,2023
Investigating the role of YAP1 in blood cell specification,https://reporter.nih.gov/project-details/1F31HD113419-01A1,Not specified,Research Grant,Awarded,"$37,485.00",NIH RePORTER,2023
Multivariate Statistics and Machine Learning for Quality Control of Dried Ocimum Products,https://reporter.nih.gov/project-details/5F31AT012139-02,Not specified,Research Grant,Awarded,"$41,427.00",NIH RePORTER,2023
ROLE OF HBCUS IN COMBATING ALCOHOL AND OTHER DRUG ABUSE,https://reporter.nih.gov/project-details/1H13SP003861-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
MONOCLONAL IGG CRYOGLOBULINS,https://reporter.nih.gov/project-details/5P01AI021288-03,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
LYMPHOPROLIFERATIVE DISORDERS--HUMAN ENDOGENOUS RETROVIRUS-LIKE SEQUENCES,https://reporter.nih.gov/project-details/1P01AI029522-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
MOLECULAR BIOLOGY CORE FACILITY,https://reporter.nih.gov/project-details/2S07RR005403-29,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
TRAINING IN IMMUNOLOGY AND INFECTIOUS DISEASES,https://reporter.nih.gov/project-details/5T32AI007169-13,Not specified,Research Grant,Awarded,"$132,230.00",NIH RePORTER,2023
ROCHESTER AREA PEPPER CENTER,https://reporter.nih.gov/project-details/5P60AG010463-09,Not specified,Research Grant,Awarded,"$622,011.00",NIH RePORTER,2023
SUCCESSFUL AGING AND THE NEW MILLENNIUM,https://reporter.nih.gov/project-details/1R13AG015060-01,Not specified,Research Grant,Awarded,"$18,250.00",NIH RePORTER,2023
IMMUNOLOGIC ANALYSIS OF PREMALIGNANT & MALIGNANT B-CELLS,https://reporter.nih.gov/project-details/1R01AG006350-01,Not specified,Research Grant,Awarded,"$151,490.00",NIH RePORTER,2023
MOLECULAR BIOLOGY FACILITY GRANT,https://reporter.nih.gov/project-details/1S10RR004136-01,Not specified,Research Grant,Awarded,"$166,000.00",NIH RePORTER,2023
MOLECULAR DYNAMICS PHOSPHORIMAGING SYSTEM,https://reporter.nih.gov/project-details/1S10RR008285-01,Not specified,Research Grant,Awarded,"$190,000.00",NIH RePORTER,2023
STUDIES OF HUMAN MONOCLONAL IGG CRYOGLOBULINS,https://reporter.nih.gov/project-details/5R01AI019658-03,Not specified,Research Grant,Awarded,"$108,728.00",NIH RePORTER,2023
CLONAL B-CELL ANALYSIS IN HUMAN MONOCLONAL GAMMAPATHIES,https://reporter.nih.gov/project-details/1R01AG008177-01,Not specified,Research Grant,Awarded,"$170,067.00",NIH RePORTER,2023
"SHORT-TERM TRAINING, STUDENTS IN HEALTH SCHOOLS",https://reporter.nih.gov/project-details/5T35HL007496-15,Not specified,Research Grant,Awarded,"$71,302.00",NIH RePORTER,2023
MOLECULAR APPROACHES FOR THE TREATMENT OF OVARIAN CANCER,https://reporter.nih.gov/project-details/1P01CA059311-01,Not specified,Research Grant,Awarded,"$405,000.00",NIH RePORTER,2023
MEDICAL SCIENTIST TRAINING GRANT,https://reporter.nih.gov/project-details/5T32GM007356-22,Not specified,Research Grant,Awarded,"$287,237.00",NIH RePORTER,2023
EXPERIMENTAL IMMUNOLOGY STUDY SECTION,https://reporter.nih.gov/project-details/3R09RG000011-02S2,Not specified,Research Grant,Awarded,"$10,030.00",NIH RePORTER,2023
MOLECULAR RESOURCES FACILITY ENHANCEMENT,https://reporter.nih.gov/project-details/1S10RR006679-01,Not specified,Research Grant,Awarded,"$137,000.00",NIH RePORTER,2023
MEDICAL SCIENTIST TRAINING,https://reporter.nih.gov/project-details/5T32GM007356-17,Not specified,Research Grant,Awarded,"$338,600.00",NIH RePORTER,2023
CORE CANCER CENTER SUPPORT GRANT,https://reporter.nih.gov/project-details/5P30CA011198-28,Not specified,Research Grant,Awarded,"$1,760,991.00",NIH RePORTER,2023
ELECTROPHYSIOLOGY OF PANIC DISORDER AMONG DRUG ABUSERS,https://reporter.nih.gov/project-details/5R01DA007120-04,Not specified,Research Grant,Awarded,"$145,903.00",NIH RePORTER,2023
RESEARCH INFRASTRUCTURE DVMT FOR NURSING & HEALTH RESEARCH,https://reporter.nih.gov/project-details/2S07RR005947-04,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CNMI MENTAL HEALTH DATA COLLECTION SYSTEM,https://reporter.nih.gov/project-details/5HR1SM051808-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
RESEARCH INFRASTRUCTURE DEVELOPMENT FOR NURSING AND HEALTH RESEARCH,https://reporter.nih.gov/project-details/2S07RR005947-03,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
COGNITIVE-BEHAVIORAL ASSESSMENT PROFILE FOR CARDIAC REHABILITATION PATIENTS,https://reporter.nih.gov/project-details/2S07RR005947-03,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
NURSING TREATMENTS FOR DEPRESSED AGED IN LONG TERM CARE,https://reporter.nih.gov/project-details/5R01NR001566-02,Not specified,Research Grant,Awarded,"$169,499.00",NIH RePORTER,2023
Initiation and Maintenance of Regular Exercise in an Employer Wellness Program,https://reporter.nih.gov/project-details/5R03CA173558-02,Not specified,Research Grant,Awarded,"$73,720.00",NIH RePORTER,2023
HOUSEHOLD DEMAND FOR EMPLOYER-BASED HEALTH INSURANCE,https://reporter.nih.gov/project-details/1R03HS010572-01,Not specified,Research Grant,Awarded,"$32,400.00",NIH RePORTER,2023
EnhanCed HandOffs (ECHO),https://reporter.nih.gov/project-details/5R01HS029324-02,Not specified,Research Grant,Awarded,"$400,000.00",NIH RePORTER,2023
An Etiology for Medication Ordering Errors in CPOE Systems,https://reporter.nih.gov/project-details/1R21HS025443-01,Not specified,Research Grant,Awarded,"$142,885.00",NIH RePORTER,2023
A Novel Strategy for Diagnosis of Esophageal Adenocarcinoma.,https://reporter.nih.gov/project-details/3R41CA250779-01S1,Not specified,Research Grant,Awarded,"$69,664.00",NIH RePORTER,2023
Structural and functional studies of alphavirus receptors,https://reporter.nih.gov/project-details/5R01AI182377-02,Not specified,Research Grant,Awarded,"$712,062.00",NIH RePORTER,2023
Antibody therapeutics for human viral hemorrhagic fevers and prevention of late neurological syndromes,https://reporter.nih.gov/project-details/5DP5OD023084-03,Not specified,Research Grant,Awarded,"$423,750.00",NIH RePORTER,2023
WOUND REPAIR WITH HEPARIN-BINDING EGF-LIKE GROWTH FACTOR,https://reporter.nih.gov/project-details/2R44GM046166-02,Not specified,Research Grant,Awarded,"$202,611.00",NIH RePORTER,2023
NEW ENDOTHELIAL CELL GROWTH FACTOR FOR WOUND HEALING,https://reporter.nih.gov/project-details/1R43HL044832-01,Not specified,Research Grant,Awarded,"$50,000.00",NIH RePORTER,2023
ACCELERATED WOUND HEALING WITH FIBROBLAST GROWTH FACTOR,https://reporter.nih.gov/project-details/2R44GM036762-02,Not specified,Research Grant,Awarded,"$282,694.00",NIH RePORTER,2023
TREATMENT OF PERIPHERAL ARTERIAL DISEASE WITH VEGF 121,https://reporter.nih.gov/project-details/2R44HL058403-02,Not specified,Research Grant,Awarded,"$374,993.00",NIH RePORTER,2023
YEAST SECRETION VECTORS USING THE K2 KILLER TOXIN GENE,https://reporter.nih.gov/project-details/1R43GM035037-01,Not specified,Research Grant,Awarded,"$50,000.00",NIH RePORTER,2023
TREATMENT OF PERIPHERAL ARTERIAL DISEASE WITH VEGF121,https://reporter.nih.gov/project-details/1R43HL058403-01,Not specified,Research Grant,Awarded,"$99,999.00",NIH RePORTER,2023
INHIBITORS OF THE ADHESION PROTEIN MAC-1 (CD11B/CD18),https://reporter.nih.gov/project-details/1R43GM054445-01,Not specified,Research Grant,Awarded,"$100,000.00",NIH RePORTER,2023
"STRENGTHEN INDIAN NETWORK OF POSITIVE PEOPLE CHENNAI, INDIA",https://reporter.nih.gov/project-details/5U62PS023054-03,Not specified,Research Grant,Awarded,"$150,036.00",NIH RePORTER,2023
CLASSIFICATION SCHEME USING A SECONDARY /TERTIARY ACID,https://reporter.nih.gov/project-details/2P20RR016478-04,Not specified,Research Grant,Awarded,"$54,377.00",NIH RePORTER,2023
MOLECULAR SCREENING OF INTESTINAL BACTERIA FOR AZOREDUCT,https://reporter.nih.gov/project-details/2P20RR016478-04,Not specified,Research Grant,Awarded,"$9,093.00",NIH RePORTER,2023
American Time Use Survey: Data Access System,https://reporter.nih.gov/project-details/5R01HD053654-03,Not specified,Research Grant,Awarded,"$402,510.00",NIH RePORTER,2023
Social Determinants of Primary Care Utilization among Urban Community Mental Health Center Patients with Serious Mental Illness,https://reporter.nih.gov/project-details/1R15MD010214-01,Not specified,Research Grant,Awarded,"$417,827.00",NIH RePORTER,2023
REGULATION OF B-CELL FUNCTION BY SRC TYROSINE KINASES,https://reporter.nih.gov/project-details/1R29GM048484-01A1,Not specified,Research Grant,Awarded,"$93,694.00",NIH RePORTER,2023
ACUTE PHASE REGULATION OF THE ALPHA 1-INHIBITOR III GENE,https://reporter.nih.gov/project-details/1F05TW004073-01,Not specified,Research Grant,Awarded,"$25,800.00",NIH RePORTER,2023
Imaging of the Myocardial Microenvironment to Facilitate Stem Cell Engraftment,https://reporter.nih.gov/project-details/5R01HL092985-02,Not specified,Research Grant,Awarded,"$405,871.00",NIH RePORTER,2023
MD Integrated Behavioral Health/Primary Care Network Cooperative Agreement,https://reporter.nih.gov/project-details/1U79SM060710-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
PS12-1201 COMPREHENSIVE HIV PREVENTION PROJECT FOR HEALTH DEPTS,https://reporter.nih.gov/project-details/1U62PS003699-01,Not specified,Research Grant,Awarded,"$9,212,827.00",NIH RePORTER,2023
A NOVEL NEUROPROTECTIVE THERAPY FOR ALZHEIMER’S DISEASE,https://reporter.nih.gov/project-details/1R44AG053084-01,Not specified,Research Grant,Awarded,"$1,022,134.00",NIH RePORTER,2023
CORE--GENE TRANSFER,https://reporter.nih.gov/project-details/2P01HL034300-16,Not specified,Research Grant,Awarded,"$314,833.00",NIH RePORTER,2023
TRANSCRIPTIONAL REGULATION OF HEMOGLOBIN TOXICITY IN EC,https://reporter.nih.gov/project-details/1R01HL054138-01,Not specified,Research Grant,Awarded,"$204,323.00",NIH RePORTER,2023
ROLE OF ENVIRONMENTAL AGENTS ON HEME & DRUG METABOLISM,https://reporter.nih.gov/project-details/5R01DK029742-05,Not specified,Research Grant,Awarded,"$173,892.00",NIH RePORTER,2023
Heme Oxygenase Regulation of Eicosanoid Biosynthesis,https://reporter.nih.gov/project-details/5R01DK056601-11,Not specified,Research Grant,Awarded,"$450,037.00",NIH RePORTER,2023
Oxidative Stress and Vascular HO in Diabetes,https://reporter.nih.gov/project-details/5R01DK068134-03,Not specified,Research Grant,Awarded,"$310,166.00",NIH RePORTER,2023
REGULATION OF PORPHYRIN AND HEME BIOSYNTHESIS,https://reporter.nih.gov/project-details/5K04AM000781-05,Not specified,Research Grant,Awarded,"$53,078.00",NIH RePORTER,2023
HO-EET Regulation of Adipocyte- Vascular Interactions,https://reporter.nih.gov/project-details/5P01HL034300-28,Not specified,Research Grant,Awarded,"$499,291.00",NIH RePORTER,2023
Adipocyte EET-PGC1alpha-HO-1 in Obesity-driven Hypertension,https://reporter.nih.gov/project-details/1R56HL139561-01A1,Not specified,Research Grant,Awarded,"$502,883.00",NIH RePORTER,2023
Complex Antithrombotic Therapy in Older Veterans: GI Risk and Preference,https://reporter.nih.gov/project-details/1I01HX000146-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Gastrointestinal Safety of Antithrombotic Drug Regimens,https://reporter.nih.gov/project-details/5R01HS025402-04,Not specified,Research Grant,Awarded,"$394,737.00",NIH RePORTER,2023
Disseminating and Implementing MedSMA℞T Families in Emergency Departments: A Randomized Control Trial to Assess Effectiveness of an Evidence-Based Gaming Intervention to Reduce Opioid Misuse,https://reporter.nih.gov/project-details/1R18HS030202-01,Not specified,Research Grant,Awarded,"$386,500.00",NIH RePORTER,2023
Cellular Pharmacology of Rapamycin,https://reporter.nih.gov/project-details/5R01CA076193-07,Not specified,Research Grant,Awarded,"$336,000.00",NIH RePORTER,2023
CELL CYCLE TARGETS FOR ANTICANCER DRUGS,https://reporter.nih.gov/project-details/5U19CA052995-11,Not specified,Research Grant,Awarded,"$165,627.00",NIH RePORTER,2023
SIGNAL TRANSDUCTION FROM THE T CELL ANTIGEN RECEPTOR,https://reporter.nih.gov/project-details/7R01GM047286-11,Not specified,Research Grant,Awarded,"$348,480.00",NIH RePORTER,2023
Developmental Pilot Project 2,https://reporter.nih.gov/project-details/5P30CA030199-26,Not specified,Research Grant,Awarded,"$47,014.00",NIH RePORTER,2023
SIGNAL TRANSDUCTION MECHANISMS IN IL2 DEPENDENT T CELL GROWTH,https://reporter.nih.gov/project-details/2S07RR005530-26,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
NEW TRANSLATION INITIATION INHIBITORS FOR CANCER THERAPY,https://reporter.nih.gov/project-details/3U19CA052995-13S1,Not specified,Research Grant,Awarded,"$250,404.00",NIH RePORTER,2023
Roles of ATM and ATR Kinases in DNA Damage Responses,https://reporter.nih.gov/project-details/5R01CA097950-03,Not specified,Research Grant,Awarded,"$396,495.00",NIH RePORTER,2023
CELL-CYCLE TARGETS FOR ANTICANCER DRUGS,https://reporter.nih.gov/project-details/5U19CA052995-09,Not specified,Research Grant,Awarded,"$159,574.00",NIH RePORTER,2023
SIGNAL TRANSDUCTION FROM THE T-CELL ANTIGEN RECEPTOR,https://reporter.nih.gov/project-details/5R01GM047286-04,Not specified,Research Grant,Awarded,"$162,945.00",NIH RePORTER,2023
INHIBITION OF PROTEIN TYROSINE KINASE ACTIVITY,https://reporter.nih.gov/project-details/3U01CA052995-06S1,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
KINASE TARGETS IN HYPOXIC CANCER CELLS,https://reporter.nih.gov/project-details/2U19CA052995-17,Not specified,Research Grant,Awarded,"$186,754.00",NIH RePORTER,2023
TO3R: SPECIMENS,https://reporter.nih.gov/project-details/273201600003I-P00005-759602100003-2,Not specified,Research Grant,Awarded,"$83,842.00",NIH RePORTER,2023
SURVEILLANCE SUPPORT SERVICES FOR THE NATIONAL CANCER INSTITUTE,https://reporter.nih.gov/project-details/N02PC51305-4-0-0,Not specified,Research Grant,Awarded,"$1,044.00",NIH RePORTER,2023
DIETARY FAT MODULATION OF HEPATIC LIPOGENESIS,https://reporter.nih.gov/project-details/5R01AM030957-03,Not specified,Research Grant,Awarded,"$149,348.00",NIH RePORTER,2023
EFFECT OF DIETARY FAT ON MAMMARY NEOPLASIA,https://reporter.nih.gov/project-details/5R01CA029767-05,Not specified,Research Grant,Awarded,"$157,350.00",NIH RePORTER,2023
MAST CELLS IN PULMONARY INFLAMMATION,https://reporter.nih.gov/project-details/7R01AI035678-04,Not specified,Research Grant,Awarded,"$131,067.00",NIH RePORTER,2023
LIGAND RECEPTOR INTERACTIONS IN UTIS,https://reporter.nih.gov/project-details/3R37DK050814-30S1,Not specified,Research Grant,Awarded,"$13,105.00",NIH RePORTER,2023
LIGAND RECEPTOR INTERACTIONS IN BACTERIAL ADHERENCE,https://reporter.nih.gov/project-details/5R01AI013550-16,Not specified,Research Grant,Awarded,"$132,528.00",NIH RePORTER,2023
Nasal adjuvant to enhance anti-cocaine vaccines,https://reporter.nih.gov/project-details/5R21DA029731-02,Not specified,Research Grant,Awarded,"$196,250.00",NIH RePORTER,2023
Modulation of Bladder cAMP to combat UTI's,https://reporter.nih.gov/project-details/5R01DK077159-04,Not specified,Research Grant,Awarded,"$305,346.00",NIH RePORTER,2023
D-MANNOSE BINDING MOIETY OF TYPE 1 FIMBRIAE OF E. COLI,https://reporter.nih.gov/project-details/5R23AI023821-02,Not specified,Research Grant,Awarded,"$51,558.00",NIH RePORTER,2023
Proteome Mining in Caveolae of the Bladder Epithelium,https://reporter.nih.gov/project-details/1R21AI056101-01A1,Not specified,Research Grant,Awarded,"$154,000.00",NIH RePORTER,2023
Mechanism of Bacterial Expulsion from Infected Bladder Cells.,https://reporter.nih.gov/project-details/1R56DK095198-01A1,Not specified,Research Grant,Awarded,"$200,000.00",NIH RePORTER,2023
A novel vaccination strategy to curb recUTIs,https://reporter.nih.gov/project-details/1R21AI170985-01A1,Not specified,Research Grant,Awarded,"$241,500.00",NIH RePORTER,2023
Mast Cells in Dengue Pathology and Prevention,https://reporter.nih.gov/project-details/1R01HL112921-01A1,Not specified,Research Grant,Awarded,"$368,613.00",NIH RePORTER,2023
Aberrant remodeling of bladder following infection,https://reporter.nih.gov/project-details/5R01DK121032-04,Not specified,Research Grant,Awarded,"$401,650.00",NIH RePORTER,2023
Immune mediated exocytosis of intravesicular UPEC from bladder cells,https://reporter.nih.gov/project-details/1R01DK101456-01,Not specified,Research Grant,Awarded,"$336,863.00",NIH RePORTER,2023
Immunotherapy to combat skin infections,https://reporter.nih.gov/project-details/1R56AI139620-01A1,Not specified,Research Grant,Awarded,"$278,905.00",NIH RePORTER,2023
Caveolae Mediated Bacterial Uptake in the Urinary Tract,https://reporter.nih.gov/project-details/5R01AI050021-07,Not specified,Research Grant,Awarded,"$378,589.00",NIH RePORTER,2023
Development of Efficacious Vaccine Against UTI's,https://reporter.nih.gov/project-details/5R21DK077307-02,Not specified,Research Grant,Awarded,"$195,000.00",NIH RePORTER,2023
Caveolae Mediated Bacterial Uptake by Mast Cells,https://reporter.nih.gov/project-details/5R01AI050021-04,Not specified,Research Grant,Awarded,"$346,500.00",NIH RePORTER,2023
Loss of Bladder Control Following Recurrent Infections,https://reporter.nih.gov/project-details/5R01DK121969-03,Not specified,Research Grant,Awarded,"$409,821.00",NIH RePORTER,2023
Combatting Bladder Cancer by Inducing Epithelial Turnover,https://reporter.nih.gov/project-details/5R21CA223093-02,Not specified,Research Grant,Awarded,"$168,894.00",NIH RePORTER,2023
Platelet- mast cell interactions as determinants of the vascular pathology in septic shock.,https://reporter.nih.gov/project-details/1R01GM144606-01,Not specified,Research Grant,Awarded,"$463,512.00",NIH RePORTER,2023
Small cationic antimicrobial peptides: activators of innate & adaptive immunity,https://reporter.nih.gov/project-details/1R56AI074751-01A1,Not specified,Research Grant,Awarded,"$390,000.00",NIH RePORTER,2023
Molecular Regulation of CaM Kinase II Activity,https://reporter.nih.gov/project-details/1R15HL070862-01,Not specified,Research Grant,Awarded,"$156,250.00",NIH RePORTER,2023
USE OF EPR OXIMETRY IN PATIENTS W/ TUMORS UNDERGOING RADIATION THERAPY,https://reporter.nih.gov/project-details/5P41RR011602-04,Not specified,Research Grant,Awarded,"$12,151.00",NIH RePORTER,2023
Effect of intracellular localization of miRNAs on miRNA-mediated gene regulation,https://reporter.nih.gov/project-details/5F32GM088981-02,Not specified,Research Grant,Awarded,"$50,474.00",NIH RePORTER,2023
Androgens and Myocardial Relaxation in the Aging Heart,https://reporter.nih.gov/project-details/5K08AG022554-02,Not specified,Research Grant,Awarded,"$119,211.00",NIH RePORTER,2023
Vevo 2100,https://reporter.nih.gov/project-details/1S10RR028050-01A1,Not specified,Research Grant,Awarded,"$271,320.00",NIH RePORTER,2023
Development of a Hypertrophic Cardiomyopathy Consortium,https://reporter.nih.gov/project-details/3R01HL098046-01S1,Not specified,Research Grant,Awarded,"$34,227.00",NIH RePORTER,2023
Modulation of Cardiac Mechanics in AL Amyloidosis,https://reporter.nih.gov/project-details/5R21HL076513-02,Not specified,Research Grant,Awarded,"$115,076.00",NIH RePORTER,2023
Exercise Intolerance in Non Obstructive Hypertrophic Cardiomyopathy,https://reporter.nih.gov/project-details/5R01HL157238-04,Not specified,Research Grant,Awarded,"$726,745.00",NIH RePORTER,2023
Testosterone Therapy for Diastolic Function Recovery in Hypogonadal Elderly,https://reporter.nih.gov/project-details/5R21AG042667-02,Not specified,Research Grant,Awarded,"$196,425.00",NIH RePORTER,2023
